Date Administered,AgeGroupVacc,7-day_avg_group_cases_per_100k,Administered_Dose1_pct_agegroup,Series_Complete_Pop_pct_agegroup
2021-08-15T00:00:00,65 - 74 Years,15.43397643,0.929,0.826
2021-08-15T00:00:00,75+ Years,16.47061865,0.881,0.784
2021-08-14T00:00:00,<12 Years,22.04340807,0.005,0.003
2021-08-14T00:00:00,12 - 15 Years,27.88714704,0.442,0.316
2021-08-14T00:00:00,16 - 17 Years,32.5547419,0.537,0.423
2021-08-14T00:00:00,18 - 24 Years,34.81135238,0.562,0.454
2021-08-14T00:00:00,25 - 39 Years,35.24027427,0.599,0.499
2021-08-14T00:00:00,40 - 49 Years,30.12128682,0.694,0.591
2021-08-14T00:00:00,50 - 64 Years,22.12700706,0.783,0.684
2021-08-14T00:00:00,65 - 74 Years,15.35423839,0.929,0.826
2021-08-14T00:00:00,75+ Years,16.33390684,0.881,0.783
2021-08-13T00:00:00,<12 Years,21.53382847,0.005,0.003
2021-08-13T00:00:00,12 - 15 Years,27.23451638,0.437,0.313
2021-08-13T00:00:00,16 - 17 Years,31.81744538,0.534,0.421
2021-08-13T00:00:00,18 - 24 Years,34.71018682,0.559,0.452
2021-08-13T00:00:00,25 - 39 Years,35.10433613,0.597,0.497
2021-08-13T00:00:00,40 - 49 Years,29.93739791,0.692,0.589
2021-08-13T00:00:00,50 - 64 Years,21.9649111,0.782,0.683
2021-08-13T00:00:00,65 - 74 Years,15.15743812,0.928,0.825
2021-08-13T00:00:00,75+ Years,16.19579285,0.88,0.783
2021-08-12T00:00:00,<12 Years,20.95672139,0.005,0.003
2021-08-12T00:00:00,12 - 15 Years,26.90563837,0.433,0.31
2021-08-12T00:00:00,16 - 17 Years,32.04311324,0.53,0.419
2021-08-12T00:00:00,18 - 24 Years,36.32221745,0.557,0.451
2021-08-12T00:00:00,25 - 39 Years,36.83248141,0.594,0.496
2021-08-12T00:00:00,40 - 49 Years,31.64660812,0.69,0.588
2021-08-12T00:00:00,50 - 64 Years,23.63014064,0.78,0.682
2021-08-12T00:00:00,65 - 74 Years,16.30388452,0.927,0.824
2021-08-12T00:00:00,75+ Years,18.40070903,0.88,0.782
2021-08-11T00:00:00,<12 Years,20.0086594,0.005,0.003
2021-08-11T00:00:00,12 - 15 Years,25.52349649,0.43,0.308
2021-08-11T00:00:00,16 - 17 Years,30.53751241,0.528,0.417
2021-08-11T00:00:00,18 - 24 Years,35.66984142,0.555,0.45
2021-08-11T00:00:00,25 - 39 Years,36.04978168,0.593,0.496
2021-08-11T00:00:00,40 - 49 Years,30.80156949,0.689,0.587
2021-08-11T00:00:00,50 - 64 Years,22.96245965,0.779,0.681
2021-08-11T00:00:00,65 - 74 Years,15.82418386,0.926,0.824
2021-08-11T00:00:00,75+ Years,17.91135084,0.879,0.782
2021-08-10T00:00:00,<12 Years,19.13437193,0.005,0.003
2021-08-10T00:00:00,12 - 15 Years,24.40360279,0.426,0.306
2021-08-10T00:00:00,16 - 17 Years,29.53492697,0.525,0.416
2021-08-10T00:00:00,18 - 24 Years,35.14463144,0.553,0.449
2021-08-10T00:00:00,25 - 39 Years,35.44671449,0.591,0.495
2021-08-10T00:00:00,40 - 49 Years,30.23643883,0.687,0.587
2021-08-10T00:00:00,50 - 64 Years,22.51363091,0.778,0.68
2021-08-10T00:00:00,65 - 74 Years,15.50820067,0.926,0.823
2021-08-10T00:00:00,75+ Years,17.61409029,0.879,0.781
2021-08-09T00:00:00,<12 Years,18.18065786,0.005,0.003
2021-08-09T00:00:00,12 - 15 Years,23.30591903,0.422,0.304
2021-08-09T00:00:00,16 - 17 Years,28.48066186,0.522,0.414
2021-08-09T00:00:00,18 - 24 Years,34.42323591,0.551,0.448
2021-08-09T00:00:00,25 - 39 Years,34.5747262,0.59,0.494
2021-08-09T00:00:00,40 - 49 Years,29.40202962,0.685,0.586
2021-08-09T00:00:00,50 - 64 Years,21.92586277,0.777,0.68
2021-08-09T00:00:00,65 - 74 Years,15.05013107,0.925,0.823
2021-08-09T00:00:00,75+ Years,17.02517786,0.878,0.781
2021-08-08T00:00:00,<12 Years,16.81731675,0.005,0.003
2021-08-08T00:00:00,12 - 15 Years,21.52741507,0.42,0.303
2021-08-08T00:00:00,16 - 17 Years,26.49616283,0.52,0.413
2021-08-08T00:00:00,18 - 24 Years,32.49210831,0.55,0.447
2021-08-08T00:00:00,25 - 39 Years,32.41702485,0.588,0.493
2021-08-08T00:00:00,40 - 49 Years,27.41043124,0.684,0.585
2021-08-08T00:00:00,50 - 64 Years,20.42227515,0.776,0.679
2021-08-08T00:00:00,65 - 74 Years,14.0372883,0.925,0.822
2021-08-08T00:00:00,75+ Years,15.86628233,0.878,0.781
2021-08-07T00:00:00,<12 Years,16.76912534,0.005,0.003
2021-08-07T00:00:00,12 - 15 Years,21.56329268,0.416,0.3
2021-08-07T00:00:00,16 - 17 Years,26.35145977,0.517,0.411
2021-08-07T00:00:00,18 - 24 Years,32.51716333,0.548,0.446
2021-08-07T00:00:00,25 - 39 Years,32.41976894,0.586,0.492
2021-08-07T00:00:00,40 - 49 Years,27.3200812,0.682,0.584
2021-08-07T00:00:00,50 - 64 Years,20.33714071,0.774,0.678
2021-08-07T00:00:00,65 - 74 Years,13.95118818,0.924,0.822
2021-08-07T00:00:00,75+ Years,15.82071172,0.877,0.781
2021-08-06T00:00:00,<12 Years,16.64120985,0.005,0.003
2021-08-06T00:00:00,12 - 15 Years,21.4086773,0.411,0.298
2021-08-06T00:00:00,16 - 17 Years,26.24293248,0.513,0.41
2021-08-06T00:00:00,18 - 24 Years,32.60603774,0.545,0.445
2021-08-06T00:00:00,25 - 39 Years,32.40056029,0.584,0.491
2021-08-06T00:00:00,40 - 49 Years,27.12556287,0.68,0.583
2021-08-06T00:00:00,50 - 64 Years,20.19025544,0.773,0.677
2021-08-06T00:00:00,65 - 74 Years,13.84515355,0.923,0.821
2021-08-06T00:00:00,75+ Years,15.644038,0.877,0.78
2021-08-05T00:00:00,<12 Years,15.30731905,0.005,0.003
2021-08-05T00:00:00,12 - 15 Years,19.34058985,0.407,0.296
2021-08-05T00:00:00,16 - 17 Years,23.72613293,0.51,0.408
2021-08-05T00:00:00,18 - 24 Years,29.24488297,0.543,0.443
2021-08-05T00:00:00,25 - 39 Years,28.67471538,0.582,0.491
2021-08-05T00:00:00,40 - 49 Years,23.46231155,0.678,0.582
2021-08-05T00:00:00,50 - 64 Years,16.97898457,0.771,0.677
2021-08-05T00:00:00,65 - 74 Years,11.57813319,0.922,0.821
2021-08-05T00:00:00,75+ Years,12.25358502,0.876,0.78
2021-08-04T00:00:00,<12 Years,14.77661852,0.005,0.003
2021-08-04T00:00:00,12 - 15 Years,18.84172034,0.402,0.293
2021-08-04T00:00:00,16 - 17 Years,23.08875043,0.506,0.406
2021-08-04T00:00:00,18 - 24 Years,28.59487062,0.54,0.442
2021-08-04T00:00:00,25 - 39 Years,27.99797986,0.58,0.489
2021-08-04T00:00:00,40 - 49 Years,22.81604301,0.676,0.581
2021-08-04T00:00:00,50 - 64 Years,16.44388627,0.769,0.676
2021-08-04T00:00:00,65 - 74 Years,11.164174,0.921,0.82
2021-08-04T00:00:00,75+ Years,11.78315616,0.875,0.779
2021-08-03T00:00:00,<12 Years,14.53685136,0.005,0.003
2021-08-03T00:00:00,12 - 15 Years,18.68539651,0.398,0.291
2021-08-03T00:00:00,16 - 17 Years,22.84930133,0.503,0.404
2021-08-03T00:00:00,18 - 24 Years,28.49795968,0.538,0.441
2021-08-03T00:00:00,25 - 39 Years,27.87069616,0.578,0.489
2021-08-03T00:00:00,40 - 49 Years,22.7214412,0.674,0.58
2021-08-03T00:00:00,50 - 64 Years,16.26203912,0.768,0.675
2021-08-03T00:00:00,65 - 74 Years,10.99494273,0.92,0.82
2021-08-03T00:00:00,75+ Years,11.69832473,0.875,0.779
